Date	Price	Open	High	Low	Vol.	Close	Change %	
"Jun 04, 2021"	70.05	69.1	70.05	69.1	665.40K	72.24405	4.55%	#NAME?
"Jun 03, 2021"	67	65	67	65	327.30K	67.002	3.08%	
"Jun 02, 2021"	65	64	65	64	130.90K	68.032	6.30%	
"Jun 01, 2021"	61.15	61.1	61.15	61.1	795.00K	61.25275	0.25%	
"May 31, 2021"	61	68	68	61	215.90K	63.818	-6.15%	
"May 28, 2021"	65	67	67	65	216.00K	64.0453	-4.41%	
"May 27, 2021"	68	65	68	65	233.00K	68.003	4.62%	
"May 26, 2021"	65	60.4	65	60.4	475.60K	64.30788	6.47%	
"May 24, 2021"	61.05	65	65	61.05	335.30K	66.1375	1.75%	
"May 21, 2021"	60	60	60	60	1.69M	60	0.00%	
"May 20, 2021"	60	65	65	60	53.90K	60.515	-6.90%	
"May 19, 2021"	64.45	65	65	64.45	74.10K	64.4995	-0.77%	
"May 18, 2021"	64.95	65	65	64.95	804.30K	64.948	-0.08%	
"May 17, 2021"	65	65	65	65	795.30K	65	0.00%	
"May 14, 2021"	65	60.35	65	60.35	1.39M	65.32284	8.24%	
"May 13, 2021"	60.05	57.1	60.05	57.1	791.50K	61.06845	6.95%	
"May 12, 2021"	56.15	55	56.15	55	99.60K	55.7425	1.35%	
"May 11, 2021"	55.4	55.05	55.4	55.05	388.20K	55.451865	0.73%	
"May 10, 2021"	55	53.25	55	53.25	6.00K	53.25	0.00%	
"May 07, 2021"	55	53	55	53	498.70K	54.7437	3.29%	
"May 06, 2021"	53.25	52.6	53.25	52.6	19.10K	52.84722	0.47%	
"May 05, 2021"	53	52	53	52	59.40K	53.9344	3.72%	
"May 04, 2021"	51.1	50.1	51.1	50.1	54.40K	51.2022	2.20%	
"May 03, 2021"	50	52	52	50	189.10K	50.9808	-1.96%	
"Apr 30, 2021"	51	52	52	51	127.20K	52	0.00%	
"Apr 29, 2021"	51	50.5	51	50.5	85.10K	50.5	0.00%	
"Apr 28, 2021"	51	52.5	52.5	51	271.10K	53.55	2.00%	
"Apr 27, 2021"	50	47.65	50	47.65	250.90K	50.15639	5.26%	
"Apr 26, 2021"	47.5	46	47.5	46	49.80K	47.4996	3.26%	
"Apr 23, 2021"	46	45.6	46	45.6	24.90K	46.1016	1.10%	
"Apr 22, 2021"	45.5	45	45.5	45	137.40K	44.4645	-1.19%	
"Apr 21, 2021"	46.05	45	46.05	45	638.90K	49.338	9.64%	
"Apr 20, 2021"	42	41	42	41	134.60K	41.9471	2.31%	
"Apr 16, 2021"	41.05	40.7	41.05	40.7	843.40K	41.25352	1.36%	
"Apr 15, 2021"	40.5	40	40.5	40	1.74M	39.656	-0.86%	
"Apr 14, 2021"	40.85	41	41	40.85	471.20K	41	0.00%	
"Apr 13, 2021"	40.85	43	43	40.85	1.34M	40.85	-5.00%	
"Apr 12, 2021"	43	42.1	43	42.1	67.30K	42.1	0.00%	
"Apr 09, 2021"	43	43	43	43	62.40K	43	0.00%	
"Apr 08, 2021"	43	45	45	43	69.00K	43.0965	-4.23%	
"Apr 07, 2021"	44.9	45	45	44.9	84.60K	43.9245	-2.39%	
"Apr 06, 2021"	46	49	49	46	12.70K	49.2156	0.44%	
"Apr 01, 2021"	45.8	46.2	46.2	45.8	289.10K	46.00134	-0.43%	
"Mar 31, 2021"	46	48.05	48.05	46	231.10K	47.79053	-0.54%	
"Mar 30, 2021"	46.25	46.5	46.5	46.25	432.20K	46.2489	-0.54%	
"Mar 29, 2021"	46.5	48.95	48.95	46.5	68.20K	46.12069	-5.78%	
"Mar 26, 2021"	49.35	48	49.35	48	428.10K	55.0896	14.77%	
"Mar 25, 2021"	43	43	43	43	334.90K	43	0.00%	
"Mar 24, 2021"	43	40	43	40	86.00K	42.948	7.37%	
"Mar 23, 2021"	40.05	39.75	40.05	39.75	949.00K	40.048125	0.75%	
"Mar 22, 2021"	39.75	40	40	39.75	758.30K	39.748	-0.63%	
"Mar 19, 2021"	40	40	40	40	302.10K	38.14	-4.65%	
"Mar 18, 2021"	41.95	48	48	41.95	144.10K	47.9424	-0.12%	
"Mar 17, 2021"	42	43.8	43.8	42	228.00K	40.87854	-6.67%	
"Mar 16, 2021"	45	45.5	45.5	45	791.00K	43.5617	-4.26%	
"Mar 15, 2021"	47	46	47	46	75.40K	46.9982	2.17%	
"Mar 12, 2021"	46	46.25	46.25	46	33.80K	43.6415	-5.64%	
"Mar 11, 2021"	48.75	50	50	48.75	463.80K	49.24	-1.52%	
"Mar 10, 2021"	49.5	49.15	49.5	49.15	641.70K	49.65133	1.02%	
"Mar 09, 2021"	49	49.2	49.2	49	563.80K	48.75228	-0.91%	
"Mar 08, 2021"	49.45	49.95	49.95	49.45	387.70K	49.40055	-1.10%	
"Mar 05, 2021"	50	50.05	50.05	50	303.40K	50.555505	1.01%	
"Mar 04, 2021"	49.5	51	51	49.5	351.00K	50.541	-0.90%	
"Mar 03, 2021"	49.95	50.8	50.8	49.95	133.60K	49.85004	-1.87%	
"Mar 02, 2021"	50.9	50.2	50.9	50.2	290.90K	50.0996	-0.20%	
"Mar 01, 2021"	51	50	51	50	297.00K	54.84	9.68%	
"Feb 26, 2021"	46.5	46	46.5	46	311.50K	46.1978	0.43%	
"Feb 25, 2021"	46.3	46	46.3	46	60.20K	46.299	0.65%	
"Feb 24, 2021"	46	43.5	46	43.5	76.00K	44.4657	2.22%	
"Feb 23, 2021"	45	43	45	43	89.10K	43.7783	1.81%	
"Feb 19, 2021"	44.2	44.5	44.5	44.2	245.60K	46.8318	5.24%	
"Feb 18, 2021"	42	42	42	42	13.90K	42	0.00%	
"Feb 17, 2021"	42	42	42	42	1.15M	42	0.00%	
"Feb 16, 2021"	42	46	46	42	346.70K	42.9318	-6.67%	
"Feb 15, 2021"	45	45	45	45	3.20K	42.1875	-6.25%	
"Feb 12, 2021"	48	49.95	49.95	48	389.70K	48.93102	-2.04%	
"Feb 11, 2021"	49	50	50	49	171.30K	50	0.00%	
"Feb 10, 2021"	49	48.1	49	48.1	345.20K	50.14906	4.26%	
"Feb 09, 2021"	47	48	48	47	118.20K	47.0016	-2.08%	
"Feb 08, 2021"	48	48.5	48.5	48	238.80K	48.5	0.00%	
"Feb 05, 2021"	48	48	48	48	15.80K	51.2016	6.67%	
"Feb 04, 2021"	45	44.5	45	44.5	819.20K	47.5082	6.76%	
"Feb 03, 2021"	42.15	39	42.15	39	248.60K	41.0982	5.38%	
"Feb 02, 2021"	40	40	40	40	220.40K	42.104	5.26%	
"Feb 01, 2021"	38	38	38	38	21.60K	41.2566	8.57%	
"Jan 29, 2021"	35	36	36	35	358.70K	38.1816	6.06%	
"Jan 28, 2021"	33	35	35	33	416.90K	35.0525	0.15%	
"Jan 27, 2021"	32.95	39.95	39.95	32.95	334.10K	36.566235	-8.47%	
"Jan 26, 2021"	36	42.05	42.05	36	418.90K	36.041055	-14.29%	
"Jan 25, 2021"	42	41.95	42	41.95	944.20K	48.137625	14.75%	
"Jan 22, 2021"	36.6	32.1	36.6	32.1	213.90K	37.06266	15.46%	
"Jan 21, 2021"	31.7	29.5	31.7	29.5	163.00K	35.15515	19.17%	
"Jan 20, 2021"	26.6	25.5	26.6	25.5	1.09M	27.132	6.40%	
"Jan 19, 2021"	25	25.3	25.3	25	1.02M	25.81612	2.04%	
"Jan 18, 2021"	24.5	25	25	24.5	600.80K	25	0.00%	
"Jan 15, 2021"	24.5	24.5	24.5	24.5	961.70K	24.549	0.20%	
"Jan 14, 2021"	24.45	24	24.45	24	1.38M	23.52	-2.00%	
"Jan 13, 2021"	24.95	24.5	24.95	24.5	989.10K	24.9508	1.84%	
"Jan 12, 2021"	24.5	24.95	24.95	24.5	295.00K	24.648105	-1.21%	
"Jan 11, 2021"	24.8	24.95	24.95	24.8	63.20K	24.8003	-0.60%	
"Jan 08, 2021"	24.95	23	24.95	23	117.60K	24.9504	8.48%	
"Jan 07, 2021"	23	23	23	23	295.40K	26.3189	14.43%	
"Jan 06, 2021"	20.1	21	21	20.1	37.50K	19.1856	-8.64%	
